fid,REG,PROV,MUN,SEC,DM,TOPONIMIA,KM2,ENLACE,RUP,TOPO2
4779,02,13,01,01,01,CONCEPCIÓN DE LA VEGA (ZONA URBANA),30.7217502283004,13010101,02,Concepción De La Vega (Zona Urbana)
4780,02,13,01,02,01,BACUÍ ARRIBA,20.3511481846719,13010102,02,Bacuí Arriba
4781,02,13,01,04,01,BAYACANES,27.7276063384185,13010104,02,Bayacanes
4782,02,13,01,05,01,BURENDE,44.6281825609917,13010105,02,Burende
4783,02,13,01,06,01,LA CABIRMOTA,15.0470598623939,13010106,02,La Cabirmota
4784,02,13,01,09,01,GUAREY,57.333587971122,13010109,02,Guarey
4785,02,13,01,10,01,JAMO,14.4708236822296,13010110,02,Jamo
4786,02,13,01,11,01,LA PENDA,15.6067297148671,13010111,02,La Penda
4787,02,13,01,12,01,LAS CABUYAS,16.7611776701698,13010112,02,Las Cabuyas
4788,02,13,01,14,01,LICEY,15.3344881488965,13010114,02,Licey
4789,02,13,01,15,01,PONTÓN,67.1266709590574,13010115,02,Pontón
4790,02,13,01,16,01,SABANETA,32.7536945446357,13010116,02,Sabaneta
4791,02,13,01,17,01,LAS CANAS,7.18903314981974,13010117,02,Las Canas
4792,02,13,01,01,02,CUTUPÚ (ZONA URBANA),3.54679359288156,13010201,02,Cutupú (Zona Urbana)
4793,02,13,01,02,02,ARROYO HONDO ARRIBA,6.25537460338763,13010202,02,Arroyo Hondo Arriba
4794,02,13,01,03,02,BONAGUA,4.18083317574635,13010203,02,Bonagua
4795,02,13,01,04,02,MIRADOR,11.1396073454116,13010204,02,Mirador
4796,02,13,01,05,02,EL NARANJAL,7.17061113225628,13010205,02,El Naranjal
4797,02,13,01,06,02,PUEBLO VIEJO,11.2174049081473,13010206,02,Pueblo Viejo
4798,02,13,01,07,02,RÍO VERDE ABAJO,13.1105937925929,13010207,02,Río Verde Abajo
4799,02,13,01,08,02,RÍO VERDE ARRIBA,10.5104102283641,13010208,02,Río Verde Arriba
4800,02,13,01,01,03,EL RANCHITO (ZONA URBANA),1.09832021158509,13010301,02,El Ranchito (Zona Urbana)
4801,02,13,01,02,03,SABANA REY,33.4864488262794,13010302,02,Sabana Rey
4802,02,13,01,03,03,EL BADÉN,12.4161513069451,13010303,02,El Badén
4803,02,13,01,04,03,LA ROSA,18.7638331744519,13010304,02,La Rosa
4804,02,13,01,01,04,LA JINA HUECA (ZONA URBANA),1.25621979983661,13010401,02,La Jina Hueca (Zona Urbana)
4805,02,13,01,02,04,LA JINA HUECA,26.0087152938822,13010402,02,La Jina Hueca
4806,02,13,01,03,04,LA LLANADA,18.7362618564261,13010403,02,La Llanada
4807,02,13,01,04,04,JAGUA GORDA,40.7092746975387,13010404,02,Jagua Gorda
4808,02,13,01,05,04,EL MAMEY,28.5965363925219,13010405,02,El Mamey
4809,02,13,01,01,05,CRUCE DE BARRANCA (ZONA URBANA),8.00774986127206,13010501,02,Cruce De Barranca (Zona Urbana)
4810,02,13,01,02,05,BARRANCA,14.2477566158915,13010502,02,Barranca
4811,02,13,01,03,05,LAS YERBAS,3.55933496128747,13010503,02,Las Yerbas
